"GEOID","NAME","med_earnE","m_med_earnE","f_med_earnE","Associate_degreeE","Bachelor_degreeE","Master_degreeE","Professional_school_degreeE","Doctorate_degreeE","maleE","femaleE","whiteE","blackE","Amer_IndianE","asianE","hawaE","other_raceE","total_collE","total_coll_maleE","total_coll_femaleE","total_graE","total_gra_maleE","total_gra_femaleE","under_pover_collE","under_pover_graE","above_pover_collE","above_pover_graE","year"
"01","Alabama",29164,35550,23511,271030,506680,226164,48931,33747,2356052,2507248,3316384,1301102,24509,65611,1503,70333,260766,113399,147367,48991,21595,27396,56464,11439,164247,37165,"2016"
"02","Alaska",36209,42368,30859,40819,90861,36182,8730,5804,390573,351321,477895,23753,108056,45580,9937,12712,34811,17326,17485,8580,3392,5188,3121,221,29077,8284,"2016"
"04","Arizona",30675,34951,26303,390843,835779,359075,84523,56517,3444228,3486843,5254944,299674,306247,220438,14140,585948,390943,180401,210542,80555,34896,45659,83523,12721,265801,66462,"2016"
"05","Arkansas",27687,31890,23450,133315,282608,118134,26203,18888,1468782,1519466,2290066,464516,18859,41781,8808,86797,149413,64746,84667,28170,11393,16777,33512,4258,87922,23279,"2016"
"06","California",32499,37947,28554,2031775,5426164,2203376,622302,408628,19491231,19758786,23420234,2265280,290133,5602074,150521,5642125,2702025,1260518,1441507,525733,235284,290449,490427,87774,1994738,431766,"2016"
"08","Colorado",35274,40637,30019,322529,934273,409712,87779,61117,2790701,2749844,4654921,234142,54743,175951,8325,228102,298676,139786,158890,76686,32178,44508,67974,8362,191170,67646,"2016"
"09","Connecticut",40323,48114,32263,186288,541369,297488,74865,39866,1745153,1831299,2741892,378932,9887,161950,1259,171008,222904,100455,122449,53125,21868,31257,20457,7164,150154,44130,"2016"
"10","Delaware",35408,40276,30883,52228,121717,58672,12881,11799,460232,491833,659091,209911,4055,35646,2053,15595,50404,20378,30026,12308,5616,6692,6560,2036,33241,10008,"2016"
"11","District of Columbia",50364,56181,43880,14086,115097,98988,38236,20554,323591,357579,277268,320554,2004,26436,41,37132,45431,19101,26330,28664,12646,16018,8410,7929,14316,19631,"2016"
"13","Georgia",31026,35959,26367,518208,1270275,560593,145085,90323,5018150,5292221,6054861,3254495,37939,398897,6503,299220,576421,252925,323496,126163,47278,78885,107833,25894,385027,99422,"2016"
"15","Hawaii",35514,40083,31091,104261,211850,67803,21989,14951,718057,710500,357994,25898,2649,543448,144568,12321,80763,40201,40562,19147,7937,11210,8514,2388,63217,16744,"2016"
"16","Idaho",26998,32816,21225,104375,203363,65673,17642,13732,841203,841937,1510119,11437,26596,24406,2375,66137,94518,42959,51559,18335,6742,11593,23212,2461,62690,15850,"2016"
"17","Illinois",34774,41196,28818,682989,1813840,830129,188580,109736,6289724,6511815,9123763,1813477,30470,684783,4851,822784,695704,323051,372653,199326,80036,119290,129605,37188,475030,157086,"2016"
"18","Indiana",30906,37361,25013,374136,716293,301847,64188,42518,3267337,3365716,5536418,617745,17515,141451,3526,157755,352881,162705,190176,69918,33360,36558,72796,15061,205237,52342,"2016"
"19","Iowa",31717,38078,26153,234055,398242,135083,35270,24567,1556668,1578025,2834162,111867,10488,74805,3949,42129,185622,84867,100755,38694,17353,21341,47669,6838,89290,31634,"2016"
"20","Kansas",31098,36936,25501,157030,390861,170982,37627,21956,1448853,1458436,2458966,166551,21620,79741,2922,74123,167829,83028,84801,40649,17035,23614,39903,6080,99571,34505,"2016"
"24","Maryland",41235,47434,36379,268485,860491,528502,128976,103160,2917773,3098674,3397255,1793593,15234,376518,2480,230326,356897,164670,192227,110678,46847,63831,43195,12858,262909,97333,"2016"
