"GEOID","NAME","med_earnE","m_med_earnE","f_med_earnE","Associate_degreeE","Bachelor_degreeE","Master_degreeE","Professional_school_degreeE","Doctorate_degreeE","maleE","femaleE","whiteE","blackE","Amer_IndianE","asianE","hawaE","other_raceE","total_collE","total_coll_maleE","total_coll_femaleE","total_graE","total_gra_maleE","total_gra_femaleE","under_pover_collE","under_pover_graE","above_pover_collE","above_pover_graE","year"
"27","Minnesota",36219,41616,30787,429762,860125,304937,78752,53170,2747946,2772006,4596566,331308,63229,258899,1452,111852,299600,136783,162817,62833,25738,37095,59004,7751,190386,54930,"2016"
"28","Mississippi",27427,32514,22421,177695,264865,113113,27550,20735,1440934,1547792,1748734,1134958,13260,26708,631,30583,162789,70984,91805,28866,9622,19244,36427,5051,93447,23624,"2016"
"30","Montana",27162,32486,22375,66134,148944,48718,14909,8035,526023,516497,927374,3949,66231,8432,578,3738,52220,23049,29171,9169,4060,5109,15142,1075,28490,8051,"2016"
"32","Nevada",31132,35119,27294,156342,308547,114345,32605,16278,1473153,1466905,1966690,260993,34267,244373,20240,274293,139241,62539,76702,29628,11682,17946,23361,3285,111410,26224,"2016"
"34","New Jersey",40881,49101,32614,400332,1460518,670786,153171,95327,4370211,4574258,6090908,1194585,20185,854181,3754,543530,472162,221778,250384,124823,49272,75551,51143,16239,364004,107223,"2016"
"35","New Mexico",26949,31443,22668,116674,215691,116006,22128,24408,1030224,1050791,1539634,41043,194133,32346,1428,206526,122469,58719,63750,27444,13331,14113,27167,4515,86020,22843,"2016"
"38","North Dakota",35039,41897,27452,67554,107578,28550,5718,4477,390181,367772,660919,19250,41649,9200,233,5114,46544,22957,23587,9705,3876,5829,11240,1446,24262,8241,"2016"
"40","Oklahoma",30262,35891,24542,203590,432922,157183,35356,23204,1943273,1980288,2841467,287373,297948,79246,6143,107778,204557,90415,114142,38616,18007,20609,49727,8456,124593,29358,"2016"
"42","Pennsylvania",32465,40443,27415,730217,1676971,765331,175633,129802,6262870,6521357,10340877,1407047,23556,423180,3417,262396,659388,294229,365159,176914,74540,102374,117393,28868,366631,145030,"2016"
"45","South Carolina",29640,34430,24876,317549,591086,242201,53013,36206,2405343,2555776,3342552,1337644,16010,76870,2561,77386,267422,112736,154686,52125,21412,30713,52405,7637,167694,44146,"2016"
"46","South Dakota",31032,36465,26067,65093,111002,35829,9174,7256,435668,429786,732939,14524,77378,12953,218,5894,45375,21873,23502,8433,3374,5059,11767,1339,22974,7093,"2016"
"49","Utah",30209,38593,21472,178193,381130,140249,33569,25987,1538145,1513072,2633283,32800,31702,70150,29463,164775,211447,107175,104272,38181,20023,18158,45512,4658,151175,31929,"2016"
"50","Vermont",32028,36322,29214,40499,92871,46671,12297,8016,307874,316720,589379,7893,2177,9406,252,3163,38920,17745,21175,6808,2232,4576,7279,1074,14910,5686,"2016"
"54","West Virginia",27617,34509,22611,95794,162243,78802,16651,11061,900913,930189,1704195,69721,3851,14133,404,7494,86391,37675,48716,17182,7059,10123,22486,3778,46471,13251,"2016"
"56","Wyoming",31526,39913,24526,45601,67845,26068,6551,5453,298205,287296,538819,5970,13194,6012,420,5782,32156,14533,17623,7540,3652,3888,7523,1245,19815,6295,"2016"
"72","Puerto Rico",16878,16898,16855,237746,433120,112925,26678,27168,1625567,1785740,2278731,395069,8082,5691,193,575686,223897,102208,121689,37863,12681,25182,90789,7534,129455,30172,"2016"
"12","Florida",29550,31908,25833,1429121,2675907,1061264,307323,163962,10070860,10541579,15574165,3310428,52738,559393,12540,570424,1125217,498192,627025,242431,104543,137888,205975,40729,822132,200775,"2016"
"21","Kentucky",30070,35309,24405,256369,419081,202997,51228,29035,2179814,2257160,3866333,366157,11140,61311,2307,37591,228750,98562,130188,47974,17719,30255,51111,7001,132848,40594,"2016"
"22","Louisiana",30261,38063,23485,187288,473299,169554,56083,28970,2291880,2389786,2901495,1514755,25508,77921,1030,68208,231882,91216,140666,45501,16631,28870,62746,8157,143273,36589,"2016"
"23","Maine",30594,35747,26046,94984,181434,79538,18162,12004,650702,680777,1257120,19963,7893,17499,214,2450,70476,28836,41640,14152,5754,8398,9777,1959,43339,12189,"2016"
"25","Massachusetts",40557,47506,33407,363356,1124295,629351,140558,126142,3305817,3505962,5350175,506677,12547,440845,3758,285412,445969,200758,245211,139496,57238,82258,52150,26730,248545,107822,"2016"
"26","Michigan",30456,36512,24611,626128,1162737,547241,119229,80623,4883220,5045080,7793481,1363336,51161,292514,2967,118621,594533,275431,319102,121337,56188,65149,136496,20705,378395,95783,"2016"
"29","Missouri",30800,36375,25766,325244,729511,324191,70157,48791,2994651,3098349,5011507,702946,30888,117335,9193,71031,318559,139252,179307,76830,31578,45252,68940,14246,194450,62284,"2016"
"31","Nebraska",31448,37517,26448,129795,261931,90070,22938,16033,950124,956992,1674863,89879,15865,41548,1227,38348,109537,51591,57946,26047,9524,16523,23615,4437,62520,21484,"2016"
"33","New Hampshire",36144,41648,30883,97488,213461,101003,19392,12822,664722,670073,1247155,16671,1450,32679,66,8057,74126,34929,39197,19187,7974,11213,9064,2060,42771,16700,"2016"
"36","New York",36263,41130,31539,1191816,2749619,1521940,391676,204577,9582050,10163239,12530463,3080534,73052,1668036,9236,1767107,1175025,539462,635563,308980,123841,185139,195224,61248,761029,239609,"2016"
"37","North Carolina",30552,35022,26099,654866,1345615,543876,114036,87578,4933381,5213407,6989065,2182212,120843,275428,6081,304293,560939,245557,315382,125190,49491,75699,123507,23998,340445,100101,"2016"
"39","Ohio",31289,37345,25921,682507,1362205,598321,130456,88699,5691600,5922773,9476221,1443510,18081,239025,4031,109073,614826,277750,337076,141713,54425,87288,122900,25127,374986,115740,"2016"
"41","Oregon",30897,36271,25768,244515,572508,247973,66154,47895,2026038,2067427,3455810,79575,45426,169459,14823,120779,227042,101606,125436,46839,18914,27925,58172,10025,143351,36392,"2016"
"44","Rhode Island",35343,41141,30492,60183,151195,70435,17015,11620,511358,545068,850105,67526,5304,36875,1437,62292,79802,33096,46706,15907,8809,7098,9815,2513,44863,12989,"2016"
"47","Tennessee",30164,34420,25436,328595,756055,303704,73385,49711,3247058,3404136,5177478,1114434,19053,116375,4798,79206,323679,145083,178596,72956,31204,41752,60600,13114,209748,58969,"2016"
"48","Texas",31288,36725,25853,1259574,3362678,1281070,295098,196841,13830953,14031643,20702709,3362283,135275,1300300,25228,1622087,1525151,707044,818107,322757,140898,181859,301265,52543,1077834,267174,"2016"
"51","Virginia",36282,41905,30591,438669,1241751,695229,142532,99173,4135485,4276323,5707035,1601868,23156,532320,8379,228627,509829,235997,273832,129960,56450,73510,93187,16124,325025,112657,"2016"
"53","Washington",36353,43776,29662,491450,1098509,472318,109063,75820,3639726,3648274,5516602,266977,94637,597215,48182,350251,380910,179710,201200,85952,35034,50918,77450,12263,262629,73240,"2016"
"55","Wisconsin",32038,39933,26715,420412,758503,288536,69338,43798,2872921,2905788,4941688,361653,52608,155252,1534,125644,333730,150151,183579,62413,24441,37972,78664,9360,195869,52775,"2016"
