"GEOID","NAME","med_earnE","m_med_earnE","f_med_earnE","Associate_degreeE","Bachelor_degreeE","Master_degreeE","Professional_school_degreeE","Doctorate_degreeE","maleE","femaleE","whiteE","blackE","Amer_IndianE","asianE","hawaE","other_raceE","total_collE","total_coll_maleE","total_coll_femaleE","total_graE","total_gra_maleE","total_gra_femaleE","under_pover_collE","under_pover_graE","above_pover_collE","above_pover_graE","year"
"40","Oklahoma",30479,35769,25036,208717,437243,161597,35948,25748,1948986,1981878,2837492,286716,302400,86704,7163,107507,200554,91922,108632,40827,18301,22526,45247,7459,124685,32362,"2017"
"38","North Dakota",35999,41686,30726,66236,108045,30784,7948,5662,388300,367093,654116,23294,41706,12699,540,8251,44572,22656,21916,9856,4452,5404,12137,2359,21656,7448,"2017"
"21","Kentucky",30663,36142,25455,241585,423916,213672,56806,29158,2194850,2259339,3872670,361637,7777,64878,3527,42177,210426,91314,119112,50089,20232,29857,41747,9540,124124,39739,"2017"
"32","Nevada",32322,36726,29422,165508,340110,120878,34858,17434,1506252,1491787,1936859,274550,37910,255025,20761,333731,134682,62882,71800,29248,12053,17195,21337,2667,109042,26581,"2017"
"02","Alaska",37326,43350,31734,42724,86444,37005,10673,4562,385776,354019,474856,22107,109948,49385,8830,11279,35247,16520,18727,9196,3758,5438,2871,559,29669,8390,"2017"
"05","Arkansas",30050,34561,25470,143522,301294,116823,30772,21225,1479682,1524597,2293307,458367,19110,47885,8551,91890,148402,66629,81773,28191,10986,17205,29768,6063,89770,21968,"2017"
"20","Kansas",31839,38674,26113,167548,403542,180331,35827,23042,1452573,1460550,2462215,167207,21426,85840,3712,71385,164915,78397,86518,41514,16352,25162,40862,6726,95760,34619,"2017"
"46","South Dakota",31333,37012,26397,62204,109803,35691,10754,5490,438429,431237,736581,16987,76078,10775,944,5647,40599,19831,20768,8314,3608,4706,10487,2197,19505,6075,"2017"
"51","Virginia",37483,45226,31126,456210,1270190,712006,145034,109986,4163754,4306266,5714699,1627641,26792,545776,4225,219501,499749,236865,262884,145098,64201,80897,88376,19468,320460,124648,"2017"
"19","Iowa",33349,40624,27348,242738,406630,141796,32274,25120,1562265,1583446,2831066,107076,10791,81714,5876,41459,183287,86106,97181,36081,15307,20774,44552,7531,91476,28026,"2017"
"04","Arizona",31651,35887,28139,408070,863062,373079,90457,56494,3487722,3528548,5442417,307655,317974,232517,16453,432853,384659,181776,202883,80265,32961,47304,77284,14151,266745,65706,"2017"
"44","Rhode Island",36278,42084,30413,58876,149699,68812,14606,13407,513198,546441,866258,66660,5580,38058,1128,47303,81612,36708,44904,15628,6794,8834,13105,1648,43802,13605,"2017"
"33","New Hampshire",37858,46197,31360,97978,216750,104196,18725,14221,665741,677054,1249751,22409,1785,35663,560,4518,73373,32005,41368,17223,7204,10019,6290,2479,44643,14088,"2017"
"37","North Carolina",31347,36026,27127,658224,1406739,571243,121058,91639,4998538,5274881,7066745,2206579,119909,295672,8385,309141,560380,245112,315268,118796,48663,70133,102439,19738,359252,98179,"2017"
"10","Delaware",36315,40854,31966,51777,121442,65823,12528,12290,465510,496429,662084,210356,2729,38930,244,18372,55239,23288,31951,13746,5626,8120,11683,1439,32959,12083,"2017"
"06","California",35544,40557,30598,2070661,5616449,2286009,649019,424770,19650051,19886602,23181769,2271917,313859,5765305,153923,5911803,2699808,1259050,1440758,530236,228680,301556,484662,86663,1996491,435154,"2017"
"55","Wisconsin",34841,41180,28623,433324,782676,301195,70544,48115,2880454,2915029,4942176,370335,49261,159530,4177,126767,318029,145146,172883,64614,26415,38199,77674,11761,181279,52837,"2017"
"41","Oregon",32137,37715,27107,255783,609160,260431,63263,45563,2054016,2088760,3497242,77750,47692,181659,16144,123547,209352,93267,116085,45957,19135,26822,50174,9388,133429,36275,"2017"
"53","Washington",38437,46620,31202,514987,1130392,492107,112889,75731,3698615,3707128,5582361,271584,93038,632156,48533,339986,373438,175430,198008,80759,31954,48805,76911,9976,254993,70513,"2017"
"22","Louisiana",30544,38263,24454,185409,482439,178692,53635,27759,2289695,2394638,2890818,1521339,23848,84816,1517,75586,232404,95823,136581,45871,18309,27562,59369,9772,146723,35688,"2017"
"49","Utah",31046,40450,22448,172999,416804,157207,33505,24926,1563433,1538400,2657013,37669,32694,75691,26547,179943,217147,112368,104779,40347,19563,20784,45648,5616,154217,33738,"2017"
"39","Ohio",31982,39819,26728,698820,1381934,626841,134913,87662,5709254,5949355,9480074,1441353,23720,257518,4216,110748,593862,272854,321008,141234,57023,84211,112248,23998,360613,116106,"2017"
"48","Texas",32264,38129,27150,1323957,3510311,1371324,290221,199633,14062701,14241895,20929140,3423231,135098,1360248,23905,1683894,1530060,699396,830664,320584,138754,181830,286910,46367,1096092,270510,"2017"
"47","Tennessee",30994,35552,26596,332593,790840,327029,78860,57433,3272135,3443849,5221591,1122675,14637,119115,6380,89260,316592,142269,174323,71169,28846,42323,57683,11411,204891,59443,"2017"
"36","New York",37329,42037,32231,1218132,2794920,1592075,391553,201614,9637896,10211503,12523357,3136984,76069,1734663,7397,1768858,1142643,527138,615505,311080,126082,184998,176220,54293,745649,249508,"2017"
"23","Maine",31552,36359,27724,100214,193860,84719,20094,12934,654763,681144,1261611,16372,9340,15157,228,2621,66555,28297,38258,16076,6330,9746,12936,2258,36246,13641,"2017"
"26","Michigan",31713,39822,26156,649916,1201375,588250,119225,76714,4907242,5055069,7814775,1374615,53461,308052,2951,113928,568355,258723,309632,121156,53315,67841,115297,19920,371789,97451,"2017"
"30","Montana",28925,33221,24322,65772,157326,53533,13596,9362,526357,524136,930548,4635,64908,7366,1150,7788,47632,23958,23674,9154,4295,4859,15108,1185,24106,7951,"2017"
"18","Indiana",32069,40283,26129,394092,753268,320548,65072,50570,3286152,3380666,5577897,623961,12397,148366,1441,125725,342704,157478,185226,74907,35071,39836,70291,18058,197976,54673,"2017"
"72","Puerto Rico",16946,16832,17113,242776,428558,121293,28569,24099,1591997,1745180,2210728,403659,7934,5424,0,533614,219030,97693,121337,31295,12267,19028,92112,8713,122763,22582,"2017"
"25","Massachusetts",41700,50224,35704,360700,1146586,653567,146185,132333,3333270,3526549,5387411,531887,15097,452717,993,261841,444343,196766,247577,139555,62538,77017,55485,28206,242342,106517,"2017"
"11","District of Columbia",54604,60167,51904,15722,118172,103144,39893,22310,329078,364894,284536,318220,1690,28499,302,40116,50096,19514,30582,24089,10294,13795,8667,5598,16765,18148,"2017"
"56","Wyoming",32885,40838,27108,40340,67312,30847,5754,3184,295779,283536,528414,5766,13944,4832,8,10001,28121,13942,14179,8736,3386,5350,6084,795,17652,7851,"2017"
"28","Mississippi",29818,34616,24441,198080,265220,117007,27568,18702,1446473,1537627,1735887,1134333,13746,27694,1095,30914,163564,68100,95464,30158,11068,19090,35894,5080,95231,24992,"2017"
"12","Florida",30471,33572,26412,1507434,2839500,1127371,315744,171877,10254267,10730133,15768315,3394508,63635,588087,13937,602032,1120457,506059,614398,253043,106025,147018,188802,38990,835145,212866,"2017"
"15","Hawaii",37247,42189,32265,106987,216993,77325,21497,12865,716350,711188,357113,23386,2661,545639,145271,21476,75435,37182,38253,17098,8137,8961,8430,1751,58417,14781,"2017"
"27","Minnesota",37397,43323,31706,426760,888880,330787,86812,55647,2780714,2795892,4610465,361130,60803,273194,2044,110733,292129,134907,157222,69149,29158,39991,58808,8019,184185,60919,"2017"
"01","Alabama",30528,36713,24616,278878,528019,228314,51819,36552,2359896,2514851,3312718,1307467,25181,66908,1581,67308,261639,109325,152314,48470,21215,27255,55740,7652,164541,40689,"2017"
"29","Missouri",31514,36751,27009,326430,743797,333121,74909,54012,3002694,3110838,5013597,698380,25567,124518,8956,81237,301024,131095,169929,79900,32967,46933,59044,14447,187545,65102,"2017"
