"GEOID","NAME","med_earnE","m_med_earnE","f_med_earnE","Associate_degreeE","Bachelor_degreeE","Master_degreeE","Professional_school_degreeE","Doctorate_degreeE","maleE","femaleE","whiteE","blackE","Amer_IndianE","asianE","hawaE","other_raceE","total_collE","total_coll_maleE","total_coll_femaleE","total_graE","total_gra_maleE","total_gra_femaleE","under_pover_collE","under_pover_graE","above_pover_collE","above_pover_graE","year"
"54","West Virginia",28937,35166,24036,90494,156378,77079,15623,9376,897166,918691,1684321,71991,2438,13733,344,12506,80085,34654,45431,20189,9324,10865,19562,5725,44362,13654,"2017"
"17","Illinois",35868,42238,30039,692672,1829903,857509,195094,115299,6294900,6507123,9119912,1818986,29910,694968,4860,797916,675272,309859,365413,178885,73692,105193,126588,35200,456432,141440,"2017"
"24","Maryland",42149,49045,37218,285379,889090,534613,123599,105278,2935822,3116355,3322483,1806673,18931,391328,2143,305303,341883,149878,192005,113835,47286,66549,35059,11124,256610,101682,"2017"
"16","Idaho",27589,34165,20894,107505,202800,66560,14146,14152,862720,854223,1546011,11347,21589,23113,3079,59093,87793,42245,45548,15583,7721,7862,21873,2691,57899,12883,"2017"
"50","Vermont",31457,35578,27410,37360,98774,48963,11366,9063,307810,315847,587265,8260,2355,11270,166,1392,36527,18625,17902,9624,3699,5925,6529,1803,13242,7771,"2017"
"09","Connecticut",41053,49253,33975,201193,533791,311043,76815,42958,1750647,1837537,2723013,380578,11268,163924,525,191373,216701,96054,120647,58495,24952,33543,21675,6703,141641,51249,"2017"
"35","New Mexico",28062,31663,24171,117531,211995,115804,25580,23121,1034144,1053926,1582020,44431,199887,29427,1684,161056,117022,51383,65639,25261,10093,15168,26973,4696,81383,20233,"2017"
"34","New Jersey",41556,50432,34602,418148,1506899,712061,161480,96267,4396848,4608796,6112238,1217572,17843,886261,3771,538371,472948,228295,244653,124616,51613,73003,49018,16148,367587,106049,"2017"
"31","Nebraska",33314,40448,27439,128547,263330,95439,23353,16658,959273,960803,1677092,88952,15619,47118,1244,38823,106963,49534,57429,27394,12603,14791,20375,3951,63832,23280,"2017"
"42","Pennsylvania",35000,41182,29255,747997,1697397,800211,184166,135462,6272521,6533016,10339488,1437081,23523,444588,3425,243000,644150,289028,355122,167629,67327,100302,108688,26994,362047,137388,"2017"
"13","Georgia",32010,37222,27421,540564,1311611,585455,147724,86688,5070721,5358658,6122956,3292061,36855,410915,8594,271833,553921,235429,318492,138129,51788,86341,99144,21288,369104,115715,"2017"
"08","Colorado",36804,42277,31268,313309,994894,421760,91918,66125,2820169,2786985,4720495,229436,56792,179251,8400,219189,300066,146292,153774,77576,36059,41517,65878,11566,190580,65543,"2017"
"45","South Carolina",30021,34621,25125,330153,607024,262659,53525,41132,2436902,2587467,3380219,1357385,15007,76181,6389,81959,258896,118638,140258,44309,16381,27928,48742,6822,162123,37079,"2017"
