"GEOID","NAME","med_earnE","m_med_earnE","f_med_earnE","Associate_degreeE","Bachelor_degreeE","Master_degreeE","Professional_school_degreeE","Doctorate_degreeE","maleE","femaleE","whiteE","blackE","Amer_IndianE","asianE","hawaE","other_raceE","total_collE","total_coll_maleE","total_coll_femaleE","total_graE","total_gra_maleE","total_gra_femaleE","under_pover_collE","under_pover_graE","above_pover_collE","above_pover_graE","year"
"28","Mississippi",29970,35380,24124,200375,284701,122992,31636,19365,1446829,1539701,1735455,1135599,13234,26142,1372,29778,164015,70565,93450,29561,10845,18716,35304,6632,93956,21878,"2018"
"37","North Carolina",31977,36834,27606,701016,1454678,585019,126564,100540,5052244,5331376,7098569,2222533,120845,306682,10218,326630,554783,244324,310459,127623,49901,77722,107944,22151,341951,104662,"2018"
"40","Oklahoma",31043,37097,25353,207381,434570,167497,41277,24817,1950076,1993003,2845906,287680,307183,84694,3859,110013,194626,88338,106288,44245,18591,25654,44069,8810,118550,35198,"2018"
"51","Virginia",39324,45839,32079,453566,1296041,731653,153341,109422,4190738,4326947,5737580,1631512,22265,555422,5659,215743,480352,219203,261149,137789,60129,77660,88220,16401,301542,119837,"2018"
"54","West Virginia",30046,36068,23940,96253,163614,76634,18825,14030,894657,911175,1679773,68679,2629,13459,451,6430,75740,32302,43438,17637,6268,11369,21504,4159,37278,13478,"2018"
"22","Louisiana",31305,40803,25409,203074,496634,183295,49150,29574,2276530,2383448,2877115,1509407,25657,76255,1133,65366,222235,92511,129724,49301,19350,29951,50658,10148,144566,38808,"2018"
"26","Michigan",32206,40143,26866,657727,1239251,590176,120783,81683,4926816,5069099,7825285,1376751,53012,325828,3907,118467,538072,241173,296899,120561,48926,71635,116091,20662,340673,97331,"2018"
"25","Massachusetts",42257,50867,36256,366687,1178868,681633,150773,140736,3350887,3551262,5335175,537523,16198,472403,2775,303331,450159,199037,251122,146238,62728,83510,57719,28453,246540,112847,"2018"
"16","Idaho",30419,36533,23676,113323,213462,72465,16764,13571,882158,872050,1576846,12075,23026,27026,2763,59217,87430,40209,47221,17120,7339,9781,23048,2012,56008,14997,"2018"
"12","Florida",31322,35370,27382,1489510,2920459,1190545,354163,182063,10404676,10894649,15899574,3410741,59870,593634,12841,708740,1096555,503545,593010,258040,106186,151854,180308,47213,816636,209590,"2018"
"31","Nebraska",34035,40575,27493,137646,269675,100126,23436,17493,961213,968055,1666990,91221,18555,45779,1289,46473,102706,48046,54660,28669,11281,17388,22328,3663,57868,24963,"2018"
"53","Washington",40286,48336,32273,533450,1187508,524199,115719,85678,3766859,3768732,5633263,291808,97329,661781,53924,344853,384412,181958,202454,83785,35687,48098,82458,12514,259807,70802,"2018"
"35","New Mexico",28883,33035,23928,113481,221735,119066,24619,26292,1039641,1055787,1599938,46064,200659,34155,2465,144961,109673,49817,59856,23236,8886,14350,25936,3847,74743,19168,"2018"
"72","Puerto Rico",16953,17046,16832,241678,430692,120713,32733,26565,1520415,1674738,2079304,400936,4013,5144,767,551773,203140,92293,110847,33625,12966,20659,83730,8217,116413,25132,"2018"
"46","South Dakota",31981,37748,26537,70838,117943,36966,10011,5478,445271,436964,740870,19057,78068,15023,51,5782,40852,19859,20993,8572,2896,5676,9211,1157,21076,7356,"2018"
"48","Texas",33526,40079,27706,1334999,3627047,1438527,313592,221611,14250184,14451661,21099066,3527027,149997,1430857,21463,1709445,1532999,700268,832731,333138,142361,190777,298101,55445,1088284,273592,"2018"
"06","California",36730,41813,31271,2140543,5704852,2365794,654240,446190,19673553,19883492,23535388,2283850,302792,5821585,155739,5453229,2636541,1239676,1396865,548502,234443,314059,477905,80572,1930261,460339,"2018"
"01","Alabama",31190,37457,25086,288285,536086,229484,50881,35586,2369271,2518600,3306838,1307040,22063,65095,1797,84027,245025,108117,136908,56578,20143,36435,55180,8740,149733,47137,"2018"
"13","Georgia",32936,40036,28417,562774,1362317,606345,156547,98824,5120290,5399185,6127645,3319691,34485,436051,14049,301148,572785,240066,332719,139170,54289,84881,92509,18982,391833,117950,"2018"
"42","Pennsylvania",35688,41978,30015,773645,1723226,808356,192203,138697,6271620,6535440,10256084,1428406,21418,455027,5008,307572,632287,284421,347866,175565,70121,105444,113931,30652,345089,141945,"2018"
"29","Missouri",32225,38330,27955,341000,754906,351868,77529,51591,3003165,3123287,5035197,704327,27705,121417,7385,56557,297711,133644,164067,78662,28755,49907,64135,14072,179623,64349,"2018"
"08","Colorado",38295,44870,32013,329255,1013989,444914,98977,67669,2864761,2830803,4790677,237578,55146,180277,7585,196831,297300,142383,154917,82511,33959,48552,57137,11310,194122,70650,"2018"
