"GEOID","NAME","med_earnE","m_med_earnE","f_med_earnE","Associate_degreeE","Bachelor_degreeE","Master_degreeE","Professional_school_degreeE","Doctorate_degreeE","maleE","femaleE","whiteE","blackE","Amer_IndianE","asianE","hawaE","other_raceE","total_collE","total_coll_maleE","total_coll_femaleE","total_graE","total_gra_maleE","total_gra_femaleE","under_pover_collE","under_pover_graE","above_pover_collE","above_pover_graE","year"
"49","Utah",32263,42056,23496,191808,427561,160409,36599,27876,1592457,1568648,2708195,40365,34678,75898,29362,171456,231188,117860,113328,40029,21054,18975,48210,4383,164348,35229,"2018"
"47","Tennessee",31597,36821,26907,348066,801616,328826,86098,58885,3302191,3467819,5235588,1137801,19136,119046,5494,101153,315877,146571,169306,80613,31389,49224,58560,14319,202598,64985,"2018"
"56","Wyoming",32481,42687,24825,44089,66449,28596,5523,5015,292619,285118,528453,3667,16185,5807,1111,8798,29189,13579,15610,7970,4437,3533,6388,1577,18182,6365,"2018"
"36","New York",40222,45254,35133,1193573,2846770,1618369,412115,214212,9491313,10050896,12375601,3069259,84312,1666113,9424,1689845,1113361,516023,597338,300068,121852,178216,168273,51057,726603,238540,"2018"
"20","Kansas",32322,39416,27008,170965,402368,179315,36989,27471,1449745,1461765,2446823,171141,26829,82444,2929,73293,161325,78062,83263,43666,18797,24869,37156,8837,95628,34499,"2018"
"02","Alaska",40146,46383,33846,39938,89635,38582,10849,7362,382952,354486,474555,25197,111371,46381,7958,9780,35121,16705,18416,8419,3494,4925,2602,452,29771,7967,"2018"
"32","Nevada",34157,37537,30735,176618,339675,124305,36387,21467,1522374,1512018,1924976,280385,44666,250137,19612,358786,129639,56431,73208,29550,12007,17543,17395,2537,108185,26916,"2018"
"17","Illinois",37032,44342,30748,704851,1833666,887459,206789,124770,6266062,6475018,9135145,1793079,35846,717938,5317,712778,655832,304510,351322,196900,83919,112981,125219,36374,440821,156482,"2018"
"50","Vermont",32719,36927,30142,38133,103068,49452,10821,9248,308118,318181,589337,7621,1743,11859,139,2815,37895,18192,19703,8941,2361,6580,6081,867,14644,7726,"2018"
"30","Montana",30175,35068,25666,71397,152448,57723,14939,8295,534782,527523,941438,5056,68013,8517,990,5828,47339,23245,24094,10931,4346,6585,13971,1776,24822,9065,"2018"
"19","Iowa",34583,41575,27742,247997,413442,133905,35684,27509,1564888,1591257,2846099,115137,11494,79971,3463,30713,170707,80410,90297,35402,15544,19858,42812,5633,80970,29221,"2018"
"45","South Carolina",30860,35833,26409,354718,627144,268230,54446,39515,2468707,2615420,3407706,1353599,23672,80969,4004,92980,257230,113171,144059,53596,22189,31407,52015,9368,156221,43864,"2018"
"33","New Hampshire",39063,47370,31395,99230,217282,104805,20170,15322,669442,687016,1253931,23432,3562,36048,515,9013,70678,32138,38540,16541,6586,9955,7402,2923,40487,13308,"2018"
"04","Arizona",32419,36823,29603,428422,898032,389350,88079,63032,3565129,3606517,5590505,336340,330599,237873,15661,373688,390374,183137,207237,77537,35060,42477,72031,12687,275801,63097,"2018"
"11","District of Columbia",57851,62384,54822,13948,129782,109855,42734,19799,334208,368247,296747,319777,1932,27538,397,30897,48016,18640,29376,24462,12829,11633,6580,6549,17456,17321,"2018"
"34","New Jersey",43571,51561,36353,409253,1535321,707352,176756,105563,4350386,4558134,5956539,1207995,21131,868213,2909,604334,453314,210902,242412,129343,50573,78770,50031,13210,347202,112207,"2018"
"24","Maryland",43052,50418,37449,281787,911761,546260,133920,108754,2930350,3112368,3305047,1810885,13433,378985,7311,304042,341400,155134,186266,112976,46953,66023,38717,9548,245822,102771,"2018"
"23","Maine",32906,37661,29574,95274,197489,79762,19204,13595,655734,682670,1261453,18954,8566,15683,465,3264,59156,28033,31123,13702,4448,9254,9380,1521,33565,12100,"2018"
"15","Hawaii",36936,41807,32362,110557,218828,79475,21301,13969,710702,709789,345652,28325,3237,534479,144971,18052,75266,35633,39633,16938,7571,9367,7080,1546,59739,14623,"2018"
"10","Delaware",34899,40992,30443,51648,124178,66391,10766,11657,467924,499247,659781,217594,4397,39023,896,19652,49835,22997,26838,9676,3490,6186,6167,1151,32928,8492,"2018"
"44","Rhode Island",38122,45416,31748,61601,147507,78052,16840,12262,515900,541415,852805,70749,4341,36064,883,59743,67605,29550,38055,15629,6676,8953,5353,2508,37464,13034,"2018"
"21","Kentucky",31227,36519,26326,261964,442090,226181,53628,31886,2199021,2269381,3875023,354761,8470,65300,4943,51887,207557,91192,116365,49361,22181,27180,41987,6544,122544,41634,"2018"
"39","Ohio",33647,40754,28107,690735,1431014,660793,142671,91132,5732095,5957347,9470940,1446306,25672,271762,4228,112136,581974,257084,324890,137169,53484,83685,109405,22996,354258,111782,"2018"
"55","Wisconsin",35704,41945,29918,438602,775533,299862,70906,51775,2891282,2922286,4957243,370632,50364,165380,1961,121475,308758,142294,166464,62277,26882,35395,76898,12546,174202,49273,"2018"
"41","Oregon",34358,40181,28623,269508,621190,266350,65460,49543,2079943,2110770,3514983,82046,49051,190680,18758,137973,212817,98038,114779,47905,20368,27537,49112,8048,138701,39708,"2018"
"38","North Dakota",37409,46468,30571,74715,110664,26850,6960,4136,391222,368855,651687,25896,41270,13749,339,9569,49110,25336,23774,8662,4250,4412,14416,1642,24293,6919,"2018"
"05","Arkansas",30744,35174,26037,154143,296422,125495,30069,19289,1476680,1537145,2306096,456714,20951,47548,9398,84917,139935,61939,77996,28739,12788,15951,30932,5889,80816,22686,"2018"
"18","Indiana",32846,40898,26898,397824,771811,325867,65283,48105,3295973,3395905,5539927,637277,14040,154220,3470,162303,339022,154852,184170,72519,29391,43128,72826,14014,191625,56891,"2018"
"27","Minnesota",39068,45219,32496,445513,920850,337189,86399,53690,2793980,2817199,4629375,367653,60983,273126,2396,102814,288024,131966,156058,74456,29214,45242,58279,11385,181471,63025,"2018"
"09","Connecticut",41548,50202,34910,195971,544028,325902,75528,41772,1740533,1832132,2688136,391552,9507,165855,1017,195208,209100,94004,115096,54946,20410,34536,22573,7328,132227,46969,"2018"
